"Seq","Level","Item Type","Part No","Substitute Flag","Supply Type","Status","Component Qty","Extended Qty","UOM","From Date","To Date","Item Desc","Item Spec","SVC CODE","ECO No","Parent Part No","Remarks","Location Info.","Substitute Item","Item Spec"
1,1,"PU","0DHZL-0051A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","Schottky Diode","DFLS140L DIODES POWERDI123 R/TP","","","6871L-5188A","","D1","",""
2,1,"PU","6630L-0571A","N","Assembly Pull","Active",2,2,"EA","2016-11-28 16:41:59","","FFC/FPC Connector","10031HR-H06 YEONHO 6 1.0MM FFC Angle Bottom R/TP Locking SN","","","6871L-5188A","","CN1,CN2","",""
3,1,"XX","0RH2402C422","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","24K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R87","",""
4,1,"PU","0TFFL-0039A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","FET","RSD050N10 ROHM MOSFET N-CHANNEL R/TP D-PAK","","","6871L-5188A","","Q1","",""
5,1,"XX","0RH4702C422","N","Supplier","Active",2,2,"EA","2016-11-28 16:41:59","","chip Resistor","47K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R129,R132","",""
6,1,"XX","0RHAA-0114A","N","Assembly Pull","Active",2,2,"EA","2016-11-28 16:41:59","","chip Resistor","620K ohm 1/16W 1005 1% R/TP","","","6871L-5188A","","R43,R45","",""
7,1,"XX","0RHAA-0072A","N","Supplier","Active",2,2,"EA","2016-11-28 16:41:59","","chip Resistor","3K ohm 1/16W 1005 1% R/TP","","","6871L-5188A","","R20,R25","",""
8,1,"XX","0RH1000C422","N","Supplier","Active",4,4,"EA","2017-03-27 21:07:14","","chip Resistor","100 ohm 1/16W 1608 1% R/TP","","AG17224201","6871L-5188A","","R109,R110,R112,R89","",""
9,1,"XX","0CH2A-0035A","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","MLCC","1uF K 25V X5R 0.7mm 2012 R/TP","","","6871L-5188A","","C32","",""
10,1,"XX","0RH1002C422","N","Supplier","Active",5,5,"EA","2016-11-28 16:41:59","","chip Resistor","10K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R111,R122,R125,R85,R98","",""
11,1,"XX","0RHAA-0090A","N","Supplier","Active",5,5,"EA","2016-11-28 16:41:59","","chip Resistor","4.7K ohm 1/16W 1005 1% R/TP","","","6871L-5188A","","R17,R32,R38,R39,R52","",""
12,1,"XX","0RHAA-0018A","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","1K ohm 1/16W 1005 1% R/TP","","","6871L-5188A","","R37","",""
13,1,"XX","0RH1202C422","N","Supplier","Active",3,3,"EA","2016-11-28 16:41:59","","chip Resistor","12K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R121,R123,R65","",""
14,1,"XX","0RH8200C422","N","Supplier","Active",2,2,"EA","2016-11-28 16:41:59","","chip Resistor","820 ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R76,R80","",""
15,1,"XX","0RH6802C422","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","68K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R91","",""
16,1,"XX","0CH2A-0163A","N","Assembly Pull","Active",6,6,"EA","2016-11-28 16:41:59","","MLCC","4.7UF K 50V X5R 1.0mm 3216 R/TP","","","6871L-5188A","","C10,C11,C15,C16,C17,C18","",""
17,1,"XX","0CH2A-0020A","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","MLCC","0.22uF K 25V X7R 0.9mm 1608 R/TP","","","6871L-5188A","","C90","",""
18,1,"XX","0CH2A-0043A","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","MLCC","4.7uF K 16V X5R 0.95mm 2012 R/TP","","","6871L-5188A","","C92","",""
19,1,"XX","0RH4701C422","N","Supplier","Active",4,4,"EA","2016-11-28 16:41:59","","chip Resistor","4.7K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R104,R105,R106,R79","",""
20,1,"PU","0DHZL-0142A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","ESD Protection Diode","SD05 SEMTECH SOD323 R/TP","","","6871L-5188A","","D2","",""
21,1,"XX","0RH8201C422","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","8.2K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R120","",""
22,1,"XX","0RH5100C422","N","Supplier","Active",3,3,"EA","2016-11-28 16:41:59","","chip Resistor","510 ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R69,R70,R72","",""
23,1,"XX","0RH2701C422","N","Supplier","Active",4,4,"EA","2016-11-28 16:41:59","","chip Resistor","2.7K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R13,R174,R175,R5","",""
