BCD,Date,Model_P/N,Inch,Publish_Count,P/G,P/Line,SMT,Develop_Model,LOT_Number,BCR_Reading_Check
3962B2017DBF6D1001,2017Y06M07D02H42m16s,6871L-3962B,32,10,B,D,D,N,1,N
3962B2017DBF6D1002,2017Y06M07D02H42m16s,6871L-3962B,32,10,B,D,D,N,1,N
3962B2017DBF6D1003,2017Y06M07D02H42m16s,6871L-3962B,32,10,B,D,D,N,1,N
3962B2017DBF6D1004,2017Y06M07D02H42m17s,6871L-3962B,32,10,B,D,D,N,1,N
3962B2017DBF6D1005,2017Y06M07D02H42m17s,6871L-3962B,32,10,B,D,D,N,1,N
3962B2017DBF6D1006,2017Y06M07D02H42m17s,6871L-3962B,32,10,B,D,D,N,1,N
3962B2017DBF6D1007,2017Y06M07D02H42m17s,6871L-3962B,32,10,B,D,D,N,1,N
3962B2017DBF6D1008,2017Y06M07D02H42m17s,6871L-3962B,32,10,B,D,D,N,1,N
3962B2017DBF6D1009,2017Y06M07D02H42m17s,6871L-3962B,32,10,B,D,D,N,1,N
3962B2017DBF6D1010,2017Y06M07D02H42m18s,6871L-3962B,32,10,B,D,D,N,1,N
3962BGDBF6D2001,2017Y06M07D02H42m29s,6871L-3962B,32,10,B,D,D,N,2,N
3962BGDBF6D2002,2017Y06M07D02H42m29s,6871L-3962B,32,10,B,D,D,N,2,N
3962BGDBF6D2003,2017Y06M07D02H42m30s,6871L-3962B,32,10,B,D,D,N,2,N
3962BGDBF6D2004,2017Y06M07D02H42m30s,6871L-3962B,32,10,B,D,D,N,2,N
3962BGDBF6D2005,2017Y06M07D02H42m30s,6871L-3962B,32,10,B,D,D,N,2,N
3962BGDBF6D2006,2017Y06M07D02H42m30s,6871L-3962B,32,10,B,D,D,N,2,N
3962BGDBF6D2007,2017Y06M07D02H42m30s,6871L-3962B,32,10,B,D,D,N,2,N
3962BGDBF6D2008,2017Y06M07D02H42m30s,6871L-3962B,32,10,B,D,D,N,2,N
3962BGDBF6D2009,2017Y06M07D02H42m31s,6871L-3962B,32,10,B,D,D,N,2,N
3962BGDBF6D2010,2017Y06M07D02H42m31s,6871L-3962B,32,10,B,D,D,N,2,N
3962BGDBF6D3001,2017Y06M07D02H42m48s,6871L-3962B,32,10,B,D,D,N,3,N
3962BGDBF6D3002,2017Y06M07D02H42m48s,6871L-3962B,32,10,B,D,D,N,3,N
3962BGDBF6D3003,2017Y06M07D02H42m48s,6871L-3962B,32,10,B,D,D,N,3,N
3962BGDBF6D3004,2017Y06M07D02H42m49s,6871L-3962B,32,10,B,D,D,N,3,N
3962BGDBF6D3005,2017Y06M07D02H42m49s,6871L-3962B,32,10,B,D,D,N,3,N
3962BGDBF6D3006,2017Y06M07D02H42m49s,6871L-3962B,32,10,B,D,D,N,3,N
3962BGDBF6D3007,2017Y06M07D02H42m49s,6871L-3962B,32,10,B,D,D,N,3,N
