Seq,Level,Item Type,Part No,Substitute Flag,Supply Type,Status,Component Qty,Extended Qty,UOM,From Date,To Date,Item Desc,Item Spec,SVC CODE,ECO No,Parent Part No,Remarks,Location Info.,Substitute Item,Item Spec
1,1,XX,0RHAA-0040A,N,Supplier,Active,2,2,EA,2017-06-27 08:36,,chip Resistor,56 ohm 1/16W 1005 1% R/TP,,,6871L-5253B,,"R43,R44",,
2,1,XX,0CH2A-0289A,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,MLCC,1UF K 25V X6S 0.6mm 1005 R/TP,,,6871L-5253B,,C114,,
3,1,XX,0RH1002C422,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,chip Resistor,10K ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,R70,,
4,1,XX,0CH2A-0036A,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,MLCC,1UF K 50V X5R 1.0mm 3216 R/TP,,,6871L-5253B,,C42,,
5,1,XX,0CH2A-0018A,N,Supplier,Active,8,8,EA,2017-06-27 08:36,,MLCC,1uF K 6.3V X5R 0.55mm 1005 R/TP,,,6871L-5253B,,"C10,C13,C15,C16,C17,C18,C916,C917",,
6,1,PU,0ITLL-0135A,N,Assembly Pull,Active,1,1,EA,2017-06-27 08:36,,Timing Controller,TL2392ML TLI LVDS 8 1 MINI-LVDS 6 1 SGIP DPC DGA AFRC HUSH17 MLF TR 40 3.3V INTERNAL LDO,,,6871L-5253B,,UC1,,
7,1,XX,0RH1202C422,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,chip Resistor,12K ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,R937,,
8,1,XX,0RHAA-0018A,N,Supplier,Active,4,4,EA,2017-06-27 08:36,,chip Resistor,1K ohm 1/16W 1005 1% R/TP,,,6871L-5253B,,"R915,R930,R931,R932",,
9,1,XX,0CH2A-0167A,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,MLCC,1.2NF K 50V X7R 0.9mm 1608 R/TP,,,6871L-5253B,,C100,,
10,1,XX,0RH4702C422,N,Supplier,Active,2,2,EA,2017-06-27 08:36,,chip Resistor,47K ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,"R11,R14",,
11,1,XX,0RH2701C422,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,chip Resistor,2.7K ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,R81,,
12,1,XX,0RH4701C422,N,Supplier,Active,2,2,EA,2017-06-27 08:36,,chip Resistor,4.7K ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,"R10,R933",,
13,1,XX,0CH5101K418,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,MLCC,100pF J 50V C0G 0.55mm 1005 R/TP,,,6871L-5253B,,C920,,
14,1,PU,0LCZZ-0022A,N,Assembly Pull,Active,1,1,EA,2017-06-27 08:36,,Chip Inductor,JCPN2520F6R8MNT Joinset 6.8UH M=20% 1.2A 2520(T=1.0) R/TP,,,6871L-5253B,,L3,,
15,1,XX,0CH2A-0256A,N,Supplier,Active,4,4,EA,2017-06-27 08:36,,MLCC,470NF K 25V X7R 0.9mm 1608 R/TP,,,6871L-5253B,,"C40,C41,C50,C51",,
16,1,XX,0RH6802C422,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,chip Resistor,68K ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,R2,,
17,1,XX,0CH2A-0060A,N,Supplier,Active,6,6,EA,2017-06-27 08:36,,MLCC,220pF J 50V C0G 0.55mm 1005 R/TP,,,6871L-5253B,,"C141,C142,C143,C144,C145,C146",,
18,1,XX,0CH2A-0024A,N,Supplier,Active,3,3,EA,2017-06-27 08:36,,MLCC,10uF K 25V X7R 2.2mm 3225 R/TP,,,6871L-5253B,,"C110,C112,C113",,
19,1,XX,0RHAA-0071A,N,Supplier,Active,12,12,EA,2017-06-27 08:36,,chip Resistor,300 ohm 1/16W 1005 1% R/TP,,,6871L-5253B,,"R916,R917,R918,R919,R920,R921,R922,R923,R924,R925,R926,R927",,
20,1,XX,0RH9101C422,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,chip Resistor,9.1K ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,R64,,
21,1,XX,0RH2002C422,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,chip Resistor,20K ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,R935,,
22,1,PU,0ISML-0026D,N,Assembly Pull,Active,1,1,EA,2017-06-27 08:36,,Power Integration IC,SM4053C SILICON MITUS TV VDD BOOST VCC BUCK HVDD BUCKVGH/VGL C/P VCOM CALIBRATOR OPAMP 6CH P-GAMMA LEVEL SHIFTER QFN 56 QFN R/TP 56,,,6871L-5253B,,U10,,
23,1,XX,0CH2102K568,N,Supplier,Active,4,4,EA,2017-06-27 08:36,,MLCC,1nF K 50V X7R 0.55mm 1005 R/TP,,,6871L-5253B,,"C67,C68,C85,C86",,
24,1,PU,6322L-0022A,N,Assembly Pull,Active,1,1,EA,2017-06-27 08:36,,Thermistor,47K OHM (JOINSET) +-5% 100 MW 0.21 MA 4050K 1005 R/TP,,,6871L-5253B,,RT1,,
25,1,XX,0CH2A-0023A,N,Supplier,Active,4,4,EA,2017-06-27 08:36,,MLCC,0.1uF K 25V X7R 0.9mm 1608 R/TP,,,6871L-5253B,,"C101,C103,C201,C203",,
26,1,XX,0RH3901C422,N,Supplier,Active,2,2,EA,2017-06-27 08:36,,chip Resistor,3.9K ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,"R12,R13",,
27,1,XX,0RH0102C422,N,Supplier,Active,4,4,EA,2017-06-27 08:36,,chip Resistor,10 ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,"R123,R124,R61,R62",,
28,1,XX,0CH2A-0277A,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,MLCC,10UF K 25V X7R 1.5mm 2012 R/TP,,,6871L-5253B,,C111,,
29,1,PU,0TRRL-0026A,N,Assembly Pull,Active,1,1,EA,2017-06-27 08:36,,Bipolar Transistor,NSM80101MT1G ON-SEMI NPN + DIODE R/TP SC-74(SOT23) CASE 138F 6,,,6871L-5253B,,Q1,,
30,1,XX,0CH2A-0097A,N,Supplier,Active,2,2,EA,2017-06-27 08:36,,MLCC,10NF K 25V X7R 0.55mm 1005 R/TP,,,6871L-5253B,,"C202,C204",,
31,1,PU,0ISGL-0007B,N,Assembly Pull,Active,1,1,EA,2017-06-27 08:36,,EEPROM,M24C08-FDW6TP STMICRO 8K 5MS TSSOP R/TP 8,,,6871L-5253B,,U5,,
32,1,XX,0RH3302C422,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,chip Resistor,33K ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,R51,,
33,1,XX,0CH2A-0203A,N,Supplier,Active,6,6,EA,2017-06-27 08:36,,MLCC,0.1UF K 25V X5R 0.55mm 1005 R/TP,,,6871L-5253B,,"C1,C11,C12,C2,C43,C52",,
34,1,XX,0RH0000C622,N,Supplier,Active,6,6,EA,2017-06-27 08:36,,chip Resistor,0 ohm 1/16W 1608 5% R/TP,,,6871L-5253B,,"R47,R52,R63,R80,R801,R802",,
35,1,XX,0CH2A-0156A,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,MLCC,1UF K 50V X5R 0.95mm 2012 R/TP,,,6871L-5253B,,C54,,
36,1,XX,0RH1000B422,N,Supplier,Active,20,20,EA,2017-06-27 08:36,,chip Resistor,100 ohm 1/16W 1005 1% R/TP,,,6871L-5253B,,"R101,R102,R103,R104,R105,R106,R201,R202,R203,R204,R205,R206,R21,R22,R23,R24,R25,R26,R27,R28",,
37,1,XX,0CH2A-0152A,N,Supplier,Active,12,12,EA,2017-06-27 08:36,,MLCC,10UF K 25V X5R 1.4mm 2012 R/TP,,,6871L-5253B,,"C102,C104,C60,C61,C62,C63,C70,C71,C72,C81,C82,C91",,
38,1,XX,0RH4301C422,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,chip Resistor,4.3K ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,R1,,
39,1,PU,0DR051409AA,N,Assembly Pull,Active,2,2,EA,2017-06-27 08:36,,Schottky Diode,RB051L-40 ROHM SOD-106 R/TP,,,6871L-5253B,,"D1,D2",,
40,1,PU,0TRRL-0027A,N,Assembly Pull,Active,1,1,EA,2017-06-27 08:36,,Bipolar Transistor,NSM80100MT1G ON-SEMI PNP + DIODE R/TP SC-74(SOT26) CASE 318F 6,,,6871L-5253B,,Q2,,
41,1,XX,0CH2A-0032A,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,MLCC,0.1uF K 10V X5R 0.55mm 1005 R/TP,,,6871L-5253B,,C14,,
42,1,XX,0RH6801C422,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,chip Resistor,6.8K ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,R936,,
43,1,XX,0CH5560K418,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,MLCC,56pF J 50V C0G 0.55mm 1005 R/TP,,,6871L-5253B,,C20,,
44,1,XX,0RHAA-0122A,N,Supplier,Active,2,2,EA,2017-06-27 08:36,,chip Resistor,4.7 Ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,"R72,R73",,
45,1,PU,0LCAA-0144A,N,Assembly Pull,Active,2,2,EA,2017-06-27 08:36,,Coil Inductor,TNL6515-220M DACOWELL 22UH M=20% 1.4A 255.2OHM 6.5X6.5X1.5MM R/TP,,,6871L-5253B,,"L1,L2",,
46,1,XX,0CH2104H942,N,Supplier,Active,4,4,EA,2017-06-27 08:36,,MLCC,0.1uF Z 25V Y5V 0.9mm 1608 R/TP,,,6871L-5253B,,"C64,C69,C80,C919",,
47,1,XX,0RH0302C422,N,Supplier,Active,3,3,EA,2017-06-27 08:36,,chip Resistor,30 ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,"R30,R31,R934",,
48,1,PU,6630L-0204A,Y,Assembly Pull,Active,1,1,EA,2017-06-27 08:36,,Wire-Board Connector,IS100-L30B-C23 UJU 30PIN 1.0MM Angle Female R/TP 2.3MM Y Sn,,,6871L-5253B,,CN1,6630L-0168A,"FI-X30SSL-HF, JAE, 30PIN, 1.0MM, Angle, Female, R/TP, 1.0MM, Y, Sn"
49,1,XX,0CH2A-0137A,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,MLCC,4.7UF K 50V X7R 1.8mm 3216 R/TP,,,6871L-5253B,,C53,,
50,1,XX,0CH2A-0038A,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,MLCC,0.1uF Z 25V Y5V 0.55mm 1005 R/TP,,,6871L-5253B,,C115,,
51,1,XX,0RH3601C422,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,chip Resistor,3.6K ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,R46,,
52,1,XX,0RHAA-0091A,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,chip Resistor,47K ohm 1/16W 1005 1% R/TP,,,6871L-5253B,,R90,,
53,1,XX,0CH2102K562,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,MLCC,1NF K 50V X7R 0.9mm 1608 R/TP,,,6871L-5253B,,C918,,
54,1,XX,0RH0221C622,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,chip Resistor,2.2 ohm 1/16W 1608 5% R/TP,,,6871L-5253B,,R60,,
55,1,XX,0RH5101C422,N,Supplier,Active,2,2,EA,2017-06-27 08:36,,chip Resistor,5.1K ohm 1/16W 1608 1% R/TP,,,6871L-5253B,,"R3,R71",,
56,1,XX,0RHAA-0063A,N,Supplier,Active,1,1,EA,2017-06-27 08:36,,chip Resistor,22K ohm 1/16W 1005 1% R/TP,,,6871L-5253B,,R100,,
57,1,XX,0RH0000B622,N,Supplier,Active,12,12,EA,2017-06-27 08:36,,chip Resistor,0 ohm 1/16W 1005 5% R/TP,,,6871L-5253B,,"R116,R131,R132,R133,R134,R135,R136,R40,R909,R912,R928,R929",,
58,1,XX,0RHAA-0032A,N,Supplier,Active,3,3,EA,2017-06-27 08:36,,chip Resistor,100K ohm 1/16W 1005 1% R/TP,,,6871L-5253B,,"R45,R50,R91",,
