table_name,column_name,column_id,code_type,comments
A_ITEM,ITEM_CODE,1,ITEM CODE,
A_ITEM,PART_NO,2,PART NO,
A_ITEM,ITEN_NAME,3,ITEN NAME,
A_ITEM,ITEM_SPEC,4,ITEM SPEC,
A_ITEM,STATUS,5,STATUS,
A_LANG,ENGLISH_TEXT,1,ENGLISH TEXT,
A_LANG,LOCAL_TEXT,2,LOCAL TEXT,
A_MASK,A,1,A,
A_MASK,B,2,B,
A_MASK,C,3,C,
A_MASK,D,4,D,
A_MASK,E,5,E,
A_MASK,F,6,F,
A_MASK,G,7,G,
A_MASK,H,8,H,
A_MASK,I,9,I,
A_MASK,J,10,J,
A_MASK,K,11,K,
A_MASK,L,12,L,
A_MASK,M,13,M,
A_MASK,N,14,N,
A_MASK,O,15,O,
A_MATERIAL,COLUMN1,1,COLUMN1,
A_MATERIAL,COLUMN2,2,COLUMN2,
A_MATERIAL,COLUMN3,3,COLUMN3,
A_MATERIAL,COLUMN4,4,COLUMN4,
A_MATERIAL,COLUMN5,5,COLUMN5,
A_MATERIAL,COLUMN6,6,COLUMN6,
A_MATERIAL,COLUMN7,7,COLUMN7,
A_MATERIAL,COLUMN8,8,COLUMN8,
A_MATERIAL,COLUMN9,9,COLUMN9,
A_MATERIAL,COLUMN10,10,COLUMN10,
A_MATERIAL,COLUMN11,11,COLUMN11,
A_MATERIAL,COLUMN12,12,COLUMN12,
A_MATERIAL,COLUMN13,13,COLUMN13,
A_MATERIAL,COLUMN14,14,COLUMN14,
A_MODEL,MODEL_NAME,1,MODEL NAME,
A_MODEL,PART_NO,2,PART NO,
A_MODEL,CARRIER_SIZE,3,CARRIER SIZE,
DashboardData,Oid,1,Oid,
DashboardData,Content,2,Content,
DashboardData,Title,3,Title,
DashboardData,SynchronizeTitle,4,SynchronizeTitle,
DashboardData,OptimisticLockField,5,OptimisticLockField,
DashboardData,GCRecord,6,GCRecord,
ESEAI_M107_TEMP,DT_IF,1,DT IF,
ESEAI_M107_TEMP,CD_SL,2,CD SL,
ESEAI_M107_TEMP,CD_ITEM,3,CD ITEM,
ESEAI_M107_TEMP,YN_PROCESS,4,YN PROCESS,
ESEAI_M107_TEMP,DC_ERRORMSG,5,DC ERRORMSG,
ESEAI_M107_TEMP,QT_IM,6,QT IM,
ESEAI_M107_TEMP,DTS_CREATE,7,DTS CREATE,
ESEAI_M107_TEMP,TRANSFER_DATE,8,TRANSFER DATE,INFAC 전송일자
ESEAI_M107_TEMP,TRANSFER_YN,9,TRANSFER YN,INFAC 전송 플래그
IB_LINE_MASTER,LINE_CODE,1,LINE CODE,라인명
IB_LINE_MASTER,LINE_DIVISION,2,LINE DIVISION,라인구분
IB_LINE_MASTER,MACHINE,3,MACHINE,설비
IB_LINE_MASTER,ORGANIZATION_ID,4,ORGANIZATION ID,조직ID
IB_LINE_MASTER,LINE_NAME,5,LINE NAME,라인명
IB_LINE_MASTER,MACHINE_NAME,6,MACHINE NAME,설비명
IB_LINE_MASTER,ENTER_DATE,7,ENTER DATE,등록일자
IB_LINE_MASTER,ENTER_BY,8,ENTER BY,등록자
IB_LINE_MASTER,LAST_MODIFY_DATE,9,LAST MODIFY DATE,최종수정일자
IB_LINE_MASTER,LAST_MODIFY_BY,10,LAST MODIFY BY,최종수정자
IB_LINE_MASTER,LINE_STATUS,11,LINE STATUS,라인상태
IB_LINE_MASTER,ACTION_DATE,12,ACTION DATE,발생일자
IB_LINE_MASTER,SHOW_TABLE_YN,13,SHOW TABLE YN,SHOW TABLE YN
IB_LINE_MASTER,MACHINE_GROUP,14,MACHINE GROUP,설비그룹
IB_LINE_MASTER,LINE_SHAFT_TYPE,15,LINE SHAFT TYPE,
IB_MACHINE_LOCATION,LINE_CODE,1,LINE CODE,라인명
IB_MACHINE_LOCATION,MACHINE,2,MACHINE,설비
IB_MACHINE_LOCATION,ORGANIZATION_ID,3,ORGANIZATION ID,조직ID
IB_MACHINE_LOCATION,COMMENTS,4,COMMENTS,설명
IB_MACHINE_LOCATION,LOCATION_CODE,5,LOCATION CODE,로케이션(위치)
IB_MACHINE_LOCATION,ENTER_DATE,6,ENTER DATE,등록일자
IB_MACHINE_LOCATION,ENTER_BY,7,ENTER BY,등록자
IB_MACHINE_LOCATION,LAST_MODIFY_DATE,8,LAST MODIFY DATE,최종수정일자
IB_MACHINE_LOCATION,LAST_MODIFY_BY,9,LAST MODIFY BY,최종수정자
IB_MACHINE_LOCATION,TABLE_ID,10,TABLE ID,테이블ID
IB_MACHINE_LOCATION,TABLE_NO,11,TABLE NO,Table No
IB_MATERIAL_LOCATION,RACK_NO,1,RACK NO,
IB_MATERIAL_LOCATION,LOCATION_CODE,2,LOCATION CODE,로케이션(위치)
IB_MATERIAL_LOCATION,ORGANIZATION_ID,3,ORGANIZATION ID,조직ID
IB_MATERIAL_LOCATION,ENTER_DATE,4,ENTER DATE,등록일자
IB_MATERIAL_LOCATION,ENTER_BY,5,ENTER BY,등록자
IB_MATERIAL_LOCATION,LAST_MODIFY_DATE,6,LAST MODIFY DATE,최종수정일자
IB_MATERIAL_LOCATION,LAST_MODIFY_BY,7,LAST MODIFY BY,최종수정자
IB_MNT_BLOCKDATA,IDNUM,1,IDNUM,Idnum
IB_MNT_BLOCKDATA,O,2,O,O
IB_MNT_BLOCKDATA,X,3,X,
IB_MNT_BLOCKDATA,Y,4,Y,
IB_MNT_BLOCKDATA,A,5,A,
IB_MNT_BLOCKDATA,PARTS,6,PARTS,Parts
IB_MNT_BLOCKDATA,BRM,7,BRM,Brm
IB_MNT_BLOCKDATA,C,8,C,C
IB_MNT_BLOCKDATA,M,9,M,M
IB_MNT_BLOCKDATA,F,10,F,F
IB_MNT_BLOCKDATA,PR,11,PR,Pr
IB_MNT_BLOCKDATA,MB,12,MB,Mb
IB_MNT_BLOCKDATA,PRISEQ,13,PRISEQ,Priseq
IB_MNT_CHIPDATA,IDNUM,1,IDNUM,Idnum
IB_MNT_CHIPDATA,L,2,L,L
IB_MNT_CHIPDATA,W,3,W,W
IB_MNT_CHIPDATA,T,4,T,T
IB_MNT_CHIPDATA,NOZZLEA,5,NOZZLEA,Nozzlea
IB_MNT_CHIPDATA,NOZZLEB,6,NOZZLEB,Nozzleb
IB_MNT_CHIPDATA,NOZZLEC,7,NOZZLEC,Nozzlec
IB_MNT_CHIPDATA,NOZZLED,8,NOZZLED,Nozzled
IB_MNT_CHIPDATA,NOZZLEE,9,NOZZLEE,Nozzlee
IB_MNT_CHIPDATA,REF,10,REF,Ref
IB_MNT_CHIPDATA,RCGSP,11,RCGSP,Rcgsp
IB_MNT_CHIPDATA,TGAP,12,TGAP,Tgap
IB_MNT_CHIPDATA,MGAP,13,MGAP,Mgap
IB_MNT_CHIPDATA,TUPX,14,TUPX,Tupx
IB_MNT_CHIPDATA,TUPY,15,TUPY,Tupy
IB_MNT_CHIPDATA,TUPZ,16,TUPZ,Tupz
IB_MNT_CHIPDATA,RZ,17,RZ,Rz
IB_MNT_CHIPDATA,MZ,18,MZ,Mz
IB_MNT_CHIPDATA,SZ,19,SZ,Sz
IB_MNT_CHIPDATA,TSPD,20,TSPD,Tspd
IB_MNT_CHIPDATA,MSPD,21,MSPD,Mspd
IB_MNT_CHIPDATA,FS,22,FS,Fs
IB_MNT_CHIPDATA,TUPT,23,TUPT,Tupt
IB_MNT_CHIPDATA,MNTT,24,MNTT,Mntt
IB_MNT_CHIPDATA,VSEL,25,VSEL,Vsel
IB_MNT_CHIPDATA,LMPA,26,LMPA,Lmpa
IB_MNT_CHIPDATA,LMPB,27,LMPB,Lmpb
IB_MNT_CHIPDATA,LMPC,28,LMPC,Lmpc
IB_MNT_CHIPDATA,LMPD,29,LMPD,Lmpd
IB_MNT_CHIPDATA,LMPE,30,LMPE,Lmpe
IB_MNT_CHIPDATA,LMPF,31,LMPF,Lmpf
IB_MNT_CHIPDATA,NR,32,NR,Nr
IB_MNT_CHIPDATA,NAME,33,NAME,Name
IB_MNT_CHIPDATA,KIND,34,KIND,Kind
